,,COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS,,,,,,,,,,,,,
Psy,0,LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,2013-11-07T06:20:48,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp,1,,,,,,,,,,,,,
Psy,1,LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07T12:37:15,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,,,,,,,,,,,,,
Psy,2,LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8,Evgeny Murashkin,2013-11-08T17:34:21,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,,,,,,,,,,,,,
Psy,3,z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,2013-11-09T08:28:43,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,,,,,,,,,,,,,
Psy,4,z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,2013-11-10T16:05:38,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361,1,,,,,,,,,,,,,
Psy,5,LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26T02:55:11,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,,,,,,,,,,,,,
Psy,6,z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013-11-27T21:39:24,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,,,,,,,,,,,,,
Psy,7,z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,2013-11-28T12:33:27,!!!!&#8220,0,,,,,,,,,,,,,
Psy,8,z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,2013-11-28T16:01:47,""" &amp; you might not get ya bitch back &amp; thats that """,1,,,,,,,,,,,,,
Psy,9,z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,2013-11-28T16:30:13,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,,,,,,,,,,,,,
Psy,10,z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,2013-11-28T17:06:17,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,,,,,,,,,,,,,
Psy,11,z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,2013-11-28T17:34:55,""" Murda Gang bitch its Gang Land """,1,,,,,,,,,,,,,
Psy,12,z13pejoiuozwxtdu323dspopnri4xts0f,Archie Lewis,2013-11-28T17:54:39,""" So hoes that smoke are losers ? "" yea ... go on IG",1,,,,,,,,,,,,,
Psy,13,z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,2013-11-28T18:12:12,""" bad bitches is the only thing that i like """,1,,,,,,,,,,,,,
Psy,14,z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,2013-11-28T19:52:35,""" bitch get up off me """,1,,,,,,,,,,,,,
Psy,15,z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,Gaming and Stuff PRO,2013-11-28T21:14:13,""" bitch nigga miss me with it """,1,,,,,,,,,,,,,
Psy,16,z13bgdvyluihfv11i22rgxwhuvabzz1os04,Zielimeek21,2013-11-28T21:49:00,""" bitch plz whatever """,0,,,,,,,,,,,,,
Psy,17,z13vxpnoxsyeuv2jr04cctprprb1slnxdf4,OutrightIgnite,2013-11-28T21:55:02,""" bitch who do you love """,_trksid=p3984.m1555.l2649 ﻿,1,,,,,,,,,,,,
Psy,18,z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k,Tony K Frazier,2013-11-28T23:57:13,""" bitches get cut off everyday B """,1,,,,,,,,,,,,,
Psy,19,z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,Jose Renteria,2013-11-29T00:22:01,""" black bottle &amp; a bad bitch """,1,,,,,,,,,,,,,
Psy,20,z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,2013-11-29T02:13:56,""" broke bitch cant tell me nothing """,0,,,,,,,,,,,,,
Psy,21,z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,Carlos Thegamer,2013-12-01T01:20:21,""" cancel that bitch like Nino """,1,,,,,,,,,,,,,
Psy,22,z12ohdxjtsatvppjb04cctprprb1slnxdf4,OutrightIgnite,2013-12-01T03:30:55,""" cant you see these hoes wont change """,1,,,,,,,,,,,,,
Psy,23,z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k,Owen Lai,2013-12-01T04:51:52,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0,,,,,,,,,,,,,
Psy,24,LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,2013-12-23T12:54:38,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,,,,,,,,,,,,,
Psy,25,LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8,Living4Techno,2013-12-25T19:46:26,""" her pussy lips like Heaven doors "" &#128524;",1,,,,,,,,,,,,,
Psy,26,LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,8-BitMusic,2013-12-27T23:07:50,""" hoe what its hitting for """,)  Thanks!!,1,,,,,,,,,,,,
Psy,27,z13kszcinpnvc34v2234fnpxkpmlw3nhc04,Kyle Jaber,2014-01-19T00:21:29,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,,,,,,,,,,,,,
Psy,28,z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,2014-01-19T00:36:25,""" i need a trippy bitch who fuck on Hennessy """,0,,,,,,,,,,,,,
Psy,29,z13zvh1rmk3cf3mby04civbq5mjtddmbysk0k,Fun&amp,Hacks,""" i spend my money how i want bitch its my business ""","Subscribe to me for free Android games, apps.. ﻿",1,,,,,,,,,,,,
Psy,30,z120y3ribybzdf3fj23sf1rpgq3cex0sh,Young Hittaz,2014-01-19T04:21:11,""" i txt my old bitch my new bitch pussy wetter """,1,,,,,,,,,,,,,
Psy,31,z13autsqgzblcx3w104chr4r2kexd10rxc0,DropShotSk8r,2014-01-19T04:27:18,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",0,,,,,,,,,,,,,
Psy,32,z12wvpxppxz3ifk3j224cbsgqraherzrg04,ElepticRage,2014-01-19T08:55:53,""" if you aint bout that Murder Game pussy nigga shut up """,1,,,,,,,,,,,,,
Psy,33,z121e3zq5kj3ip2ch22ks3vwekuaibrgc04,Joengz,2014-01-19T10:31:10,""" if you're toes ain't done you pussy stinks """,1,,,,,,,,,,,,,
Psy,34,z13kxpqqssa0hlryd04cc1dxeyyngljjngk,Tasha Lucius,2014-01-19T13:25:56,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0,,,,,,,,,,,,,
Psy,35,z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k,Jason Provencal,2014-01-19T16:15:54,""" is that ya bitch """,0,,,,,,,,,,,,,
Psy,36,z12txle43yfhvt0f323eghbxivmuytieq,Kiddy Kidso,2014-01-19T16:49:52,""" it aint nothing to cut a bitch off """,1,,,,,,,,,,,,,
Psy,37,z13zj1grjzqhhxzlj23gdpzaovunwnn0f,HamzaMurt | Advanced Warefare | Lets Play!,2014-01-19T17:20:58,""" jus meet son now he ya mane ass bitches "" #Shots",1,,,,,,,,,,,,,
Psy,38,z13csdop4venytrru04cf11q1wmbdvkrfpo0k,ii Trollercopter,2014-01-19T17:25:23,""" lames crying over hoes thats tears of a clown """,1,,,,,,,,,,,,,
Psy,39,z13ce52jzwfitrkup23din4ojputijen3,Eugene Kalinin,2014-01-19T19:21:04,""" like Snoop said in 94 we dont love these hoes """,1,,,,,,,,,,,,,
Psy,40,z13phfyxhovav1hl122bf5iidumufzbel,Cody Tolleson,2014-01-20T02:50:44,""" momma said no pussy cats inside my doghouse """,1,,,,,,,,,,,,,
Psy,41,z13xytyybsypw34yv04cc33xkke1grugh2w,cake cat,2014-01-20T04:45:34,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,,,,,,,,,,,,,
Psy,42,z13vsbcjwrybe3hsf23sgvnxfr3zxnion04,World327RS,2014-01-20T06:16:28,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,,,,,,,,,,,,,
Psy,43,z12jvnua2tifirkvk23cfjtpxwmgxfch004,Didier Drogba,2014-01-20T06:57:25,""" pimps up pimps up hoes down "" Future voice",1,,,,,,,,,,,,,
Psy,44,z13stv3brxe1snv2i225fnvganneudej004,MFkin PRXPHETZ,2014-01-20T09:08:39,""" post a picture of that pussy get 200 likes """,1,,,,,,,,,,,,,
Psy,45,z12ktfsarrv0wdj3p22ifbxz3zn2fthhw04,Dave X,2014-01-20T10:12:07,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,,,,,,,,,,,,,
Psy,46,z121znjjloycwtjf2233dfo5esfggn3lj,crestpee,2014-01-20T13:03:12,""" quick piece of pussy call it a drive by """,0,,,,,,,,,,,,,
Psy,47,z125zbmwryjwxzx4504cfjzwbtztuvkif3c,Leonardo Baptista,2014-01-20T15:10:27,""" running round here like some brand new pussy thats bout to get fucked """,1,,,,,,,,,,,,,
Psy,48,z12stpyqaonsercxw04cjbr4dlnrxd34soo0k,Phuc Ly,2014-01-20T15:27:47,""" these bitches even worst they'll send them guys for you """,0,,,,,,,,,,,,,
Psy,49,z13nvr2xayrwffsio04cj3zwyuf3vb1imdg,Milan George,2014-01-20T16:15:09,""" these hoes like niggas that spend money not talk bout it """,0,,,,,,,,,,,,,
Psy,50,z13uzhdomzvbffvwa04cgplq2zewfz2hm2k,Kirsty Brown,2014-01-20T16:41:27,""" we dont trust these niggas all these bitches """,1,,,,,,,,,,,,,
Psy,51,z13ucxa51rnftvu2j22if5oihq2qipjlp,Kochos,2014-01-20T17:08:37,""" yall niggas b cuffing hoes cause yall aint never have bitches """,0,,,,,,,,,,,,,
Psy,52,z120grixiomvyvbga04cfl24csz5jf4zzuc0k,eSkiip,2014-01-20T17:22:53,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",0,,,,,,,,,,,,,
Psy,53,z13gevgohyzktbztz22mcrcpntfxvpvan04,Wumrogue lite,2014-01-20T17:29:52,""" young Pill Chamberlain these bitches love my music """,1,,,,,,,,,,,,,
Psy,54,z12gy5tb2kase1nix04cipry3mf1wh5grko0k,Ruddy Tapia,2014-01-20T17:58:46,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1,,,,,,,,,,,,,
Psy,55,z13hxl3yoqmlvdlnu23atlqgsoyevlsse,Artsi,2014-01-20T18:52:12,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1,,,,,,,,,,,,,
Psy,56,z12gv5qoconqsbe0h221wljgmwe4v1nmu,ProsGamerOnly,2014-01-20T20:00:55,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1,,,,,,,,,,,,,
Psy,57,z13eepr4dyjet34pt04cgr1rctvwsvqwqso0k,JP Jochem,2014-01-20T20:23:35,"""&amp; he's gone always be a hoe""",1,,,,,,,,,,,,,
